NO,From,ETH
1,0x2dba9d73aea96f786c9312fbd0cb0fc2f51e5e73,0.000660328
2,0x3ab62bafacbb8030cca852924b41ad3af7919a41,0.000685623
3,0x8c0895d1d57c077fbb22cb779c0419b3ad6f383f,0.001357198
4,0xed1f3638ffb20f52ec2c686994faf385ecebe626,0.000660974
5,0x5803a21e4d0e822af67143e758a2236c1ffd3df5,0.00235349
6,0x47c3418bfabbed5aa8ddefe5445036e64c1f226e,0.001279289
7,0xaed88e89c616cc92c6295ed6986a921fdc978e54,0.001299841
8,0xa0e489e406a59d916c32c7623738eb1f0e80c1a9,0.00200532
9,0x30139d2ad54da1c53e1b594ed40b68e42fb441f6,0.001422635
10,0xe968f854485e33eac980f8da24659ee34194739c,0.001318525
11,0xbd8aab8a80d37174f807efbefa3bb044e7adee9f,0.008488346
12,0x8934f5dff5f291c1cc92dbcf296d7860ba16ecdb,0.000660974
13,0xb1ceaefebccf39e96e3a158dc40dd78d9ba16003,0.002517808
14,0x6c4ecb8a08bdeffb8554adff6b6bce84f1aa7c71,0.001012635
15,0xa2f720d120b28e662dd1a9d0d5224f217e2f44d5,0.001964367
16,0x705b2424b680bc5a17ba0a752c6d2078a6c17486,0.001739112
17,0x01c65c7111900947207c072de2ae439c29eac56c,0.001056937
18,0xb5c56681ca5e743d4b28ce383f04aacb4fb35582,0.002003429
19,0xdbbd65026a07cfbfa1aa92744e4d69951686077d,0.001066389
20,0x3e1437fd97c60d4e98922d5d3b4012383e4bda8d,0.000660649
21,0x9d93c51d265cbfefeb85fea2ee69dc0acc8c95a4,0.003509693
22,0x646321e7b4d09148ae45a8035b6cc8f569d62cac,0.001037208
23,0x3da8abe6defee8588267ae6e0824ebbcda07ccb1,0.002214823
24,0xbb973f31aa80c3b0e50741124c454ee44a09cf47,0.001315588
25,0x6dfd03047430afb2174e21d829cf3174a82bbe18,0.002037357
26,0xb501026ca0acf4deb7bd8962a05f4515a2eea61f,0.000660488
27,0x70b90fb0083b6ad50c7f816a4914ed3a80d26113,0.000660488
28,0xfbd36dbf2f64913e06f3ea141ff38af640434b76,0.001041459
29,0x06342de61945215535ae4ffed89151dad61f0027,0.003058192
30,0x14428c2f4003373bbef06569587428a46779dd3a,0.001005313
31,0x3189d2a826e46366279b8ab1e2a79a7694e064a2,0.001041459
32,0xdaa284715af2d28dd69e193ae2cd89b602d2d810,0.000657551
